CODE;LIBELLE;URL
49331;Segré-en-Anjou Bleu;https://upload.wikimedia.org/wikipedia/commons/f/fb/Blason_ville_fr_Segr%C3%A9_%28Maine-et-Loire%29.svg
50025;Avranches;https://upload.wikimedia.org/wikipedia/commons/7/7b/Blason_ville_fr_Avranches_%28Manche%29.svg
50129;Cherbourg-en-Cotentin;https://upload.wikimedia.org/wikipedia/commons/6/6e/Blason_ville_fr_CherbourgOcteville_%28Manche%29.svg
50147;Coutances;https://upload.wikimedia.org/wikipedia/commons/1/17/Blason_Coutances.svg
50502;Saint-Lô;https://upload.wikimedia.org/wikipedia/commons/3/33/Blason_ville_fr_SaintLo_%28Manche%29.svg
51108;Châlons-en-Champagne;https://upload.wikimedia.org/wikipedia/commons/b/b1/Blason_Chalons-en-Champagne.svg
51230;Épernay;https://upload.wikimedia.org/wikipedia/commons/1/19/Blason_Epernay_51.svg
51454;Reims;https://upload.wikimedia.org/wikipedia/commons/4/44/Blason_ville_Reims.svg
51649;Vitry-le-François;https://upload.wikimedia.org/wikipedia/commons/1/1d/Blason_ville_fr_Vitry-le-Fran%C3%A7ois_51.svg
52121;Chaumont;https://upload.wikimedia.org/wikipedia/commons/7/7e/Blason_de_la_ville_de_Chaumont_%2852%29.svg
52269;Langres;https://upload.wikimedia.org/wikipedia/commons/4/4d/Blason_ville_fr_Langres_%28Haute-Marne%29.svg
52448;Saint-Dizier;https://upload.wikimedia.org/wikipedia/commons/d/d8/Blason_de_la_ville_de_Saint-Dizier_%2852%29.svg
53062;Château-Gontier-sur-Mayenne;https://upload.wikimedia.org/wikipedia/commons/9/91/Blason_Ch%C3%A2teau-Gontier_53.svg
53130;Laval;https://upload.wikimedia.org/wikipedia/commons/8/81/Blason_ville_fr_Laval_%28Mayenne%29.svg
53147;Mayenne;https://upload.wikimedia.org/wikipedia/commons/9/9d/Blason_Mayenne.svg
54099;Val de Briey;https://upload.wikimedia.org/wikipedia/commons/f/f4/Blason_Briey.svg
54329;Lunéville;https://upload.wikimedia.org/wikipedia/commons/f/f6/Blason_Luneville_54.svg
